Title	Air Date	Season	Episode	US Viewers in Millions	IMDB Rating	Director	Writer
Homer's Night Out	1990-03-25	1	10	30.3	7.4	Rich Moore	Jon Vitti
Krusty Gets Busted	1990-04-29	1	12	30.4	8.3	Brad Bird	Jay Kogen & Wallace Wolodarsky
"Bart Gets an ""F"""	1990-10-11	2	1	33.6	8.2	David Silverman	David M. Stern
Two Cars in Every Garage and Three Eyes on Every Fish	1990-11-01	2	4	26.1	8.1	Wes Archer	Sam Simon & John Swartzwelder
Dead Putting Society	1990-11-15	2	6	25.4	8.0	Rich Moore	Jeff Martin
Bart the Daredevil	1990-12-06	2	8	26.2	8.4	Wesley Meyer Archer	Jay Kogen & Wallace Wolodarsky
Bart Gets Hit by a Car	1991-01-10	2	10	24.8	7.8	Mark Kirkland	John Swartzwelder
Homer vs. Lisa and the 8th Commandment	1991-02-07	2	13	26.2	8.0	Rich Moore	Steve Pepoon
Oh Brother, Where Art Thou?	1991-02-21	2	15	26.8	8.2	"W.M. ""Bud"" Archer"	Jeff Martin
Old Money	1991-03-28	2	17	21.2	7.6	David Silverman	Jay Kogen & Wallace Wolodarsky
Lisa's Substitute	1991-04-25	2	19	17.7	8.5	Rich Moore	Jon Vitti
Blood Feud	1991-07-11	2	22	17.3	8.0	David Silverman	George Meyer
Mr. Lisa Goes to Washington	1991-09-26	3	2	20.2	7.7	Wes Archer	George Meyer
Bart the Murderer	1991-10-10	3	4	20.8	8.7	Rich Moore	John Swartzwelder
Like Father, Like Clown	1991-10-24	3	6	20.2	7.7	Jeffrey Lynch & Brad Bird	Jay Kogen & Wallace Wolodarsky
Saturdays of Thunder	1991-11-14	3	9	24.7	7.9	Jim Reardon	Ken Levine & David Isaacs
Burns Verkaufen der Kraftwerk	1991-12-05	3	11	21.1	8.2	Mark Kirkland	Jon Vitti
Radio Bart	1992-01-09	3	13	24.2	8.5	Carlos Baeza	Jon Vitti
Bart the Lover	1992-02-13	3	16	20.5	8.3	Carlos Baeza	Jon Vitti
Separate Vocations	1992-02-27	3	18	23.7	8.2	Jeffrey Lynch	George Meyer
Colonel Homer	1992-03-26	3	20	25.5	7.9	Mark Kirkland	Matt Groening
Bart's Friend Falls in Love	1992-05-07	3	23	19.5	7.8	Jim Reardon	Jay Kogen & Wallace Wolodarsky
Kamp Krusty	1992-09-24	4	1	21.8	8.4	Mark Kirkland	David M. Stern
Itchy & Scratchy: The Movie	1992-11-03	4	6	20.1	8.2	Rich Moore	John Swartzwelder
